,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
65,65,-7.397877599999999,2024-04-16 07:58:51.212624,2024-04-16 09:14:26.915286,0 days 01:15:35.702662,relu,64,0.3,7.49788620640213e-05,0.92,0.999,0.10278780905548404,0.2901189283315486,0.8,10,8,medium,16,0.8172244915177997,PRUNED
66,66,18.7208509,2024-04-16 07:59:41.894064,2024-04-16 08:12:25.974569,0 days 00:12:44.080505,tanh,32,0.3,0.00052903627834209,0.98,0.995,0.005105071674465705,-1.0127753990745048,0.5,1,64,small,16,0.9995948101904388,PRUNED
67,67,-8.015232800000001,2024-04-16 08:01:02.572770,2024-04-16 08:18:03.487842,0 days 00:17:00.915072,relu,8,0.3,0.07976730869058728,0.98,0.99,0.015903167512408792,-1.4942235156289796,0.8,1,512,small,-1,0.54507807816088,PRUNED
68,68,8.4841579,2024-04-16 08:03:46.659957,2024-04-16 08:20:41.760724,0 days 00:16:55.100767,tanh,8,0.3,0.0018619943604815618,0.98,0.995,0.020084826711357112,-3.810110790851751,0.5,1,512,small,128,0.8987864553729112,PRUNED
69,69,0.6232619000000007,2024-04-16 08:04:07.184100,2024-04-16 08:17:22.994462,0 days 00:13:15.810362,tanh,32,0.1,0.00021530417697771366,1.0,0.995,0.4583039922283189,-2.9482291237059024,0.5,1,512,small,128,0.8873512196651657,PRUNED
70,70,-3.6353994,2024-04-16 08:06:45.828764,2024-04-16 08:19:35.388108,0 days 00:12:49.559344,tanh,512,0.3,0.004795185195029943,0.92,0.995,0.002665168374333911,-2.637021369231717,0.5,10,512,small,128,0.9272028692967829,PRUNED
71,71,108.0290547,2024-04-16 08:06:58.513692,2024-04-16 08:20:20.038487,0 days 00:13:21.524795,tanh,32,0.3,0.0492612225217639,0.9,0.995,0.22199775973340488,-3.9769200295367844,0.9,1,512,small,128,0.9432665274599502,COMPLETE
72,72,9.118612099999998,2024-04-16 08:12:25.975567,2024-04-16 08:25:17.366609,0 days 00:12:51.391042,tanh,32,0.3,0.003871159697349278,0.98,0.999,0.014285668791422762,-2.971732735590148,0.5,1,512,small,128,0.952536013792841,PRUNED
73,73,63.10831559999999,2024-04-16 08:17:22.995460,2024-04-16 08:30:28.818069,0 days 00:13:05.822609,tanh,32,0.3,0.003516396687885661,0.95,0.98,0.06684693143899387,-2.2566147743468172,0.5,1,512,small,8,0.9070143548611884,COMPLETE
74,74,15.141979800000001,2024-04-16 08:18:03.489837,2024-04-16 08:41:46.001748,0 days 00:23:42.511911,tanh,16,0.3,0.059936357568185585,0.98,0.995,0.008818193868416424,-2.60419611128115,0.5,5,512,small,128,0.7858886118111328,PRUNED
